Baseline_good_outcomes_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Percent_Thrombolysis_(median%),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),calibration,scenario,stroke_team
270.22,236.95,290.53,268.33,18.69,3.66,19.58,17.09,22.81,19.73,1.89,0.37,13.56,11.42,16.18,13.73,1.46,0.29,202.46,1.0,onset_benchmark,DQKFO8183I
264.91,239.71,291.35,265.13,16.01,3.14,17.19,15.19,19.06,17.16,1.32,0.26,13.23,11.3,14.74,13.2,1.09,0.21,183.05,1.0,onset_benchmark,DZJVD1372Z
264.24,237.09,290.13,264.17,15.74,3.08,16.95,14.83,19.22,16.96,1.38,0.27,14.43,12.54,16.4,14.39,1.26,0.25,164.86,1.0,onset_benchmark,EQPWM6065O
249.62,217.85,276.93,247.43,19.19,3.76,17.02,14.83,19.37,17.0,1.43,0.28,13.24,11.55,15.25,13.27,1.23,0.24,170.82,1.0,onset_benchmark,EQZZZ5658G
273.91,259.42,289.41,274.25,9.53,1.87,14.12,13.05,15.56,14.25,0.8,0.16,11.15,10.25,12.26,11.24,0.64,0.13,182.26,1.0,onset_benchmark,FAJKD7118X
241.38,214.16,277.68,244.95,19.08,3.74,12.98,10.33,15.26,12.93,1.54,0.3,9.71,7.56,11.71,9.68,1.22,0.24,179.55,1.0,onset_benchmark,FCCJC8768V
268.08,248.13,295.57,268.94,14.58,2.86,16.58,13.97,18.7,16.51,1.43,0.28,13.45,11.37,15.4,13.44,1.25,0.24,173.52,1.0,onset_benchmark,FLVXS2956M
267.7,245.98,288.43,267.76,12.88,2.52,21.16,19.51,22.72,21.15,1.03,0.2,18.45,16.79,20.09,18.44,1.06,0.21,158.28,1.0,onset_benchmark,FPTBM7594G
234.64,198.18,265.5,234.92,21.56,4.23,12.57,9.76,15.38,12.52,1.74,0.34,8.49,6.66,10.82,8.65,1.31,0.26,189.55,1.0,onset_benchmark,FWHZZ0143J
253.83,218.82,282.28,253.85,19.42,3.81,20.46,17.93,23.19,20.64,1.73,0.34,16.01,14.31,18.54,16.21,1.41,0.28,173.17,1.0,onset_benchmark,FYFMU3598G
273.53,244.12,292.79,271.87,16.64,3.26,17.65,15.29,20.01,17.66,1.49,0.29,14.11,12.28,15.91,14.15,1.16,0.23,177.9,1.0,onset_benchmark,GKONI0110I
263.25,234.94,285.54,262.07,15.86,3.11,15.42,13.86,16.99,15.5,0.99,0.19,12.81,11.45,14.44,12.92,1.01,0.2,166.21,1.0,onset_benchmark,GLRVJ5773V
268.38,250.92,297.86,271.41,14.77,2.9,17.65,15.68,20.11,17.77,1.42,0.28,15.38,13.51,17.68,15.39,1.33,0.26,164.03,1.0,onset_benchmark,GRCGI3873D
255.85,220.65,281.1,252.76,19.03,3.73,16.97,14.37,19.73,16.88,1.55,0.3,14.74,12.6,17.23,14.79,1.51,0.3,153.61,1.0,onset_benchmark,GWOXR9160G
257.55,230.91,289.52,259.17,18.99,3.72,20.07,17.41,22.39,20.03,1.66,0.32,14.61,12.49,16.77,14.63,1.33,0.26,191.21,1.0,onset_benchmark,HBFCN1575G
258.65,230.64,288.3,259.64,18.61,3.65,14.09,12.18,16.31,14.13,1.34,0.26,12.0,10.18,13.99,11.97,1.24,0.24,162.3,1.0,onset_benchmark,HGGNH9018F
256.13,214.57,297.7,256.38,26.2,5.14,16.56,13.79,20.87,16.87,2.17,0.43,13.66,11.0,16.73,13.83,1.79,0.35,166.39,1.0,onset_benchmark,HONZP0443O
278.3,221.23,316.27,272.74,31.85,6.24,21.7,16.51,26.91,21.58,3.05,0.6,17.17,12.4,22.07,17.27,2.86,0.56,178.16,1.0,onset_benchmark,HPWIF9956L
262.17,228.46,282.21,261.06,15.07,2.95,32.65,30.21,35.34,32.67,1.59,0.31,29.49,26.87,32.08,29.5,1.66,0.33,149.27,1.0,onset_benchmark,HREGJ0143U
275.29,242.35,313.29,274.89,21.79,4.27,12.94,10.81,15.76,13.08,1.53,0.3,8.55,7.02,10.44,8.55,1.12,0.22,214.53,1.0,onset_benchmark,HYCCK3082L
252.8,229.14,286.49,253.59,16.69,3.27,19.93,17.68,22.19,19.86,1.39,0.27,15.28,13.53,17.33,15.41,1.16,0.23,176.48,1.0,onset_benchmark,HYNBH3271L
251.91,205.92,293.89,247.14,28.98,5.68,21.37,17.54,26.34,21.55,2.66,0.52,14.27,11.11,17.94,14.26,2.06,0.4,203.33,1.0,onset_benchmark,HZMLX7970T
262.22,226.56,295.67,261.0,20.16,3.95,14.22,11.33,16.23,14.06,1.59,0.31,11.04,8.34,12.74,10.79,1.28,0.25,181.11,1.0,onset_benchmark,HZNVT9936G
255.53,218.55,280.22,253.0,19.76,3.87,15.23,13.02,17.69,15.27,1.61,0.32,11.98,10.33,14.1,12.05,1.35,0.26,172.93,1.0,onset_benchmark,IATJE0497S
250.0,216.82,277.57,248.57,18.98,3.72,15.17,12.67,18.21,15.29,1.7,0.33,11.87,9.96,14.61,11.92,1.51,0.3,173.56,1.0,onset_benchmark,IAZKG9244A
245.0,219.81,271.25,245.0,16.95,3.32,21.12,18.74,23.88,21.23,1.52,0.3,16.03,14.05,18.05,16.0,1.26,0.25,179.03,1.0,onset_benchmark,IDHVL2894N
244.9,210.71,270.41,242.13,18.02,3.53,19.9,16.82,22.79,19.97,1.79,0.35,14.59,12.6,17.16,14.68,1.45,0.28,181.19,1.0,onset_benchmark,ISIZF6614O
269.53,214.84,308.98,266.95,27.67,5.42,7.03,4.69,9.79,7.12,1.62,0.32,7.26,4.31,10.53,7.29,1.83,0.36,122.91,1.0,onset_benchmark,ISXKM9668U
269.45,235.29,299.91,267.42,21.04,4.12,21.25,18.03,24.48,21.17,1.94,0.38,18.49,15.17,21.81,18.42,1.9,0.37,158.37,1.0,onset_benchmark,ITFRR7678Y
253.81,225.76,286.93,255.74,19.17,3.76,13.2,10.66,15.75,13.23,1.7,0.33,10.25,7.94,12.43,10.17,1.44,0.28,180.21,1.0,onset_benchmark,IUMNL9626U
248.85,211.75,299.77,250.41,28.72,5.63,15.21,11.96,19.82,15.36,2.51,0.49,10.3,7.82,14.36,10.7,2.06,0.4,197.55,1.0,onset_benchmark,IWINL6248B
229.25,209.56,254.64,231.31,15.31,3.0,18.28,15.33,19.83,18.04,1.3,0.26,13.47,11.38,14.89,13.34,1.09,0.21,175.19,1.0,onset_benchmark,IYJHY1440E
268.35,240.61,296.27,268.18,16.3,3.19,22.32,19.97,24.92,22.33,1.52,0.3,19.91,17.51,22.22,19.85,1.48,0.29,157.95,1.0,onset_benchmark,JADBS8258F
261.95,236.95,279.78,260.83,13.1,2.57,13.93,12.57,15.7,13.98,1.09,0.21,11.77,10.29,13.57,11.82,1.07,0.21,163.02,1.0,onset_benchmark,JHDQL1362V
256.82,238.96,277.17,257.21,13.02,2.55,17.62,15.95,19.61,17.62,1.1,0.22,15.87,14.38,17.82,16.01,1.09,0.21,145.19,1.0,onset_benchmark,JINXD0311F
270.0,223.33,314.0,270.87,26.43,5.18,19.17,15.65,22.37,19.04,2.15,0.42,14.5,11.81,17.61,14.6,1.74,0.34,187.62,1.0,onset_benchmark,JRXDG8181O
257.43,197.52,316.83,258.81,40.57,7.95,14.85,8.91,19.8,14.35,3.36,0.66,12.21,7.38,16.63,12.07,3.0,0.59,162.36,1.0,onset_benchmark,JXJYG0100P
245.18,219.94,273.31,245.37,17.39,3.41,25.16,22.34,28.48,25.17,1.85,0.36,19.4,17.1,21.81,19.3,1.51,0.3,173.9,1.0,onset_benchmark,KECZG3964M
272.92,250.63,301.37,275.3,15.71,3.08,16.54,14.64,18.44,16.42,1.21,0.24,15.13,13.35,17.15,15.08,1.23,0.24,152.65,1.0,onset_benchmark,KZKEZ2257Z
234.78,206.2,260.87,233.74,19.16,3.76,21.3,18.47,24.78,21.37,2.05,0.4,15.71,13.19,19.18,15.85,1.8,0.35,175.31,1.0,onset_benchmark,LECHF1024T
246.17,214.33,273.63,245.25,19.49,3.82,3.94,2.4,5.69,3.87,0.99,0.19,2.62,1.39,4.0,2.64,0.74,0.15,198.93,1.0,onset_benchmark,LFPMM4706C
256.67,216.5,303.5,256.4,28.07,5.5,17.33,13.97,20.35,17.15,2.18,0.43,13.44,10.26,16.38,13.37,1.89,0.37,175.28,1.0,onset_benchmark,LFZMO6561M
253.18,222.46,292.37,253.6,21.83,4.28,22.46,19.28,25.65,22.47,1.95,0.38,16.5,13.95,19.39,16.74,1.63,0.32,185.14,1.0,onset_benchmark,LGNPK4211W
259.15,228.03,293.38,259.94,20.4,4.0,22.82,18.58,26.76,22.84,2.35,0.46,16.48,13.58,20.19,16.74,2.1,0.41,190.29,1.0,onset_benchmark,LLPWF6176Z
255.3,219.08,279.15,252.51,19.64,3.85,16.61,14.13,19.43,16.61,1.53,0.3,12.87,10.85,14.85,12.89,1.22,0.24,175.81,1.0,onset_benchmark,LUVFZ2751A
227.85,181.22,265.82,224.18,26.24,5.14,10.97,8.02,14.77,11.19,2.15,0.42,7.85,5.39,10.52,7.8,1.7,0.33,182.31,1.0,onset_benchmark,LZAYM7611L
250.71,227.26,270.27,249.84,12.99,2.55,17.03,15.11,18.94,16.92,1.15,0.23,13.25,11.8,14.94,13.25,1.02,0.2,172.77,1.0,onset_benchmark,LZGVG8257A
262.75,237.79,299.92,264.33,18.47,3.62,23.03,20.25,26.28,23.07,1.73,0.34,22.03,19.25,24.78,21.94,1.78,0.35,140.04,1.0,onset_benchmark,MHMYL4920B
239.48,203.88,281.72,239.9,23.98,4.7,17.96,15.52,22.01,18.29,2.07,0.4,13.87,11.01,17.26,13.95,1.85,0.36,174.3,1.0,onset_benchmark,NFBUF0424E
255.88,227.76,282.28,255.48,17.66,3.46,22.33,19.35,25.33,22.27,1.77,0.35,17.84,15.48,21.12,18.02,1.63,0.32,167.34,1.0,onset_benchmark,NGKDE7265L
253.52,223.71,278.64,252.54,17.46,3.42,14.24,12.36,16.28,14.34,1.27,0.25,11.74,10.22,13.86,11.88,1.17,0.23,162.31,1.0,onset_benchmark,NTPQZ0829K
260.52,237.78,284.87,260.39,16.51,3.24,15.37,12.78,18.12,15.34,1.59,0.31,11.37,9.63,13.4,11.45,1.23,0.24,185.96,1.0,onset_benchmark,NZECY6641V
267.3,243.47,295.6,268.4,18.04,3.54,15.41,12.74,17.61,15.28,1.46,0.29,11.6,9.36,13.47,11.52,1.21,0.24,187.33,1.0,onset_benchmark,NZNML2841Q
247.44,227.35,264.77,246.62,11.99,2.35,13.84,12.3,15.47,13.89,1.03,0.2,10.41,9.07,11.83,10.44,0.85,0.17,177.88,1.0,onset_benchmark,OFKDF3720W
259.44,231.44,287.44,259.66,18.27,3.58,13.63,10.99,15.45,13.51,1.44,0.28,11.35,8.78,13.5,11.25,1.33,0.26,165.33,1.0,onset_benchmark,OHGIK1804X
276.75,245.39,311.9,276.86,19.33,3.79,17.44,15.3,20.12,17.54,1.59,0.31,15.58,13.59,18.38,15.79,1.56,0.31,156.13,1.0,onset_benchmark,OKVRY7006H
265.34,234.66,301.53,265.92,19.9,3.9,20.22,16.96,22.74,20.14,1.69,0.33,16.84,14.16,19.01,16.68,1.47,0.29,170.25,1.0,onset_benchmark,OQYTM8444L
261.19,223.88,305.97,262.35,26.56,5.21,17.16,14.18,20.9,17.29,1.97,0.39,11.87,9.46,14.32,11.77,1.61,0.32,201.83,1.0,onset_benchmark,OUXUZ1084Q
253.64,227.11,274.2,252.58,15.34,3.01,13.78,11.37,15.89,13.79,1.35,0.26,11.55,9.39,13.62,11.6,1.29,0.25,160.11,1.0,onset_benchmark,OYASQ1316D
259.54,230.82,293.89,260.13,20.92,4.1,17.27,14.69,20.42,17.37,1.81,0.35,15.25,12.71,18.22,15.31,1.72,0.34,154.53,1.0,onset_benchmark,PAOUI8935Z
246.0,223.8,275.31,247.89,16.68,3.27,17.41,14.56,20.26,17.31,1.64,0.32,13.54,11.28,15.82,13.58,1.41,0.28,172.71,1.0,onset_benchmark,PAYNN3649Z
259.11,229.35,286.1,258.74,16.48,3.23,12.69,10.52,14.99,12.69,1.3,0.25,9.6,7.98,11.92,9.74,1.15,0.23,181.97,1.0,onset_benchmark,PDNWI2057P
258.96,234.68,284.39,259.14,15.59,3.06,20.35,18.38,22.43,20.39,1.35,0.27,16.49,14.88,18.71,16.49,1.22,0.24,169.0,1.0,onset_benchmark,PSNKC7508G
274.06,244.62,310.03,274.39,18.17,3.56,13.87,11.91,15.99,13.96,1.47,0.29,9.54,8.27,11.03,9.71,1.05,0.21,204.66,1.0,onset_benchmark,QNARI2373R
280.81,247.71,302.6,277.87,17.73,3.48,18.55,16.13,21.09,18.55,1.37,0.27,17.18,15.23,19.81,17.29,1.47,0.29,151.28,1.0,onset_benchmark,QOAPO4699N
250.6,217.06,291.29,251.0,22.01,4.31,21.72,18.14,24.83,21.88,2.02,0.4,16.48,13.81,19.06,16.37,1.64,0.32,181.76,1.0,onset_benchmark,QOGNY5824N
238.1,206.08,277.91,237.8,22.73,4.45,25.66,21.96,29.66,25.74,2.17,0.43,19.59,16.55,22.75,19.65,1.77,0.35,173.38,1.0,onset_benchmark,QQUVD2066Z
267.74,235.32,303.23,269.77,20.59,4.04,14.52,11.94,18.08,14.83,2.01,0.39,10.94,8.53,13.86,11.05,1.66,0.33,191.48,1.0,onset_benchmark,QTELJ8888W
267.61,244.47,288.83,267.96,13.47,2.64,14.69,12.87,16.2,14.68,1.02,0.2,12.55,10.97,14.14,12.56,0.94,0.18,163.66,1.0,onset_benchmark,QWKRA8499D
257.62,210.39,293.77,255.21,26.34,5.16,14.4,10.79,16.62,13.99,1.88,0.37,11.1,8.2,13.47,11.08,1.63,0.32,173.64,1.0,onset_benchmark,QZMCK3259S
251.63,217.86,285.51,251.9,20.71,4.06,21.02,18.28,23.97,21.0,1.86,0.36,15.76,13.68,18.65,15.8,1.58,0.31,181.2,1.0,onset_benchmark,RDVPJ0375X
244.91,218.94,269.33,244.66,16.75,3.28,19.25,15.95,22.7,19.33,1.92,0.38,16.35,13.76,19.75,16.51,1.76,0.34,152.72,1.0,onset_benchmark,REVJR6326T
245.39,219.37,273.15,248.1,17.7,3.47,22.51,19.17,25.09,22.15,1.99,0.39,17.76,14.65,20.4,17.65,1.76,0.34,167.43,1.0,onset_benchmark,RGJWU8840Q
253.59,230.8,279.13,254.11,16.43,3.22,16.69,14.7,19.27,16.78,1.42,0.28,14.32,12.49,16.34,14.35,1.23,0.24,158.2,1.0,onset_benchmark,ROOIZ9592Y
246.62,213.96,274.89,245.9,19.52,3.83,25.45,21.61,28.38,25.24,2.13,0.42,20.55,17.08,23.18,20.33,1.86,0.36,164.97,1.0,onset_benchmark,SBRDX1922J
271.0,243.57,299.84,271.47,17.45,3.42,20.59,18.12,23.57,20.68,1.6,0.31,17.63,15.14,20.3,17.73,1.58,0.31,166.52,1.0,onset_benchmark,SBYTE4026H
252.26,221.22,276.91,252.3,16.23,3.18,16.49,14.09,18.76,16.59,1.39,0.27,11.69,9.91,13.73,11.74,1.07,0.21,192.21,1.0,onset_benchmark,SJVFI6669M
284.43,262.42,312.87,286.45,16.11,3.16,14.29,12.1,16.1,14.26,1.24,0.24,12.64,10.54,14.42,12.6,1.18,0.23,165.03,1.0,onset_benchmark,SMVTP6284P
275.0,238.18,309.09,272.61,22.77,4.46,15.23,12.5,18.19,15.27,1.76,0.35,13.08,10.53,15.77,13.23,1.67,0.33,163.14,1.0,onset_benchmark,SQGXB9559U
245.03,198.34,304.97,249.67,32.12,6.3,16.56,12.58,21.85,16.89,3.14,0.61,13.35,10.22,19.02,13.61,2.65,0.52,172.15,1.0,onset_benchmark,TBZOA3799I
282.1,252.82,311.28,281.5,18.86,3.7,22.96,20.6,25.7,23.04,1.77,0.35,19.27,16.84,21.73,19.38,1.71,0.34,173.63,1.0,onset_benchmark,TFSJP6914B
248.57,219.79,279.25,248.64,19.45,3.81,12.05,9.74,13.97,11.82,1.4,0.27,8.82,6.88,10.7,8.76,1.14,0.22,180.45,1.0,onset_benchmark,TKRKH4920C
257.98,225.93,284.71,255.53,20.24,3.97,16.76,13.3,20.24,16.92,2.07,0.41,12.39,9.35,14.96,12.34,1.6,0.31,187.9,1.0,onset_benchmark,TMQMS4307W
257.97,222.9,307.25,262.06,26.24,5.14,15.94,12.75,18.55,15.98,1.93,0.38,12.38,9.65,14.6,12.46,1.55,0.3,176.57,1.0,onset_benchmark,TPFFP4410O
274.56,250.88,312.37,276.65,18.05,3.54,11.4,8.75,13.17,11.3,1.33,0.26,10.03,7.84,11.4,9.91,1.21,0.24,162.54,1.0,onset_benchmark,TPXYE0168D
267.4,239.56,288.32,266.13,14.24,2.79,24.6,21.86,26.94,24.57,1.5,0.29,21.32,18.53,23.15,21.16,1.36,0.27,161.26,1.0,onset_benchmark,TQQYU0036V
234.16,195.45,284.02,238.15,25.82,5.06,15.7,12.37,19.83,15.96,2.11,0.41,11.52,8.64,14.81,11.8,1.72,0.34,177.76,1.0,onset_benchmark,TXHRP7672C
243.71,219.87,272.85,244.61,15.59,3.06,13.91,11.38,15.76,13.8,1.29,0.25,9.88,8.14,11.49,9.91,1.07,0.21,187.54,1.0,onset_benchmark,TXYJJ1019H
263.63,242.32,284.76,263.64,13.62,2.67,14.24,12.24,16.24,14.15,1.18,0.23,10.81,9.35,12.48,10.83,0.95,0.19,184.35,1.0,onset_benchmark,UALFR2142B
251.66,229.14,280.79,254.17,17.14,3.36,19.34,17.22,21.34,19.23,1.33,0.26,15.69,13.34,17.93,15.62,1.31,0.26,166.68,1.0,onset_benchmark,UIWEN7236N
260.63,232.9,293.9,261.96,18.93,3.71,19.41,16.79,22.04,19.5,1.81,0.36,15.19,12.7,17.54,15.11,1.61,0.32,179.26,1.0,onset_benchmark,UJETD9177J
276.32,229.14,315.79,275.9,28.1,5.51,19.55,15.79,23.68,19.56,2.53,0.5,15.43,11.93,19.12,15.53,2.26,0.44,181.04,1.0,onset_benchmark,UMYTD3128E
233.48,204.63,260.02,233.68,18.05,3.54,15.86,12.54,19.17,15.8,1.9,0.37,11.91,9.51,14.35,11.88,1.52,0.3,172.41,1.0,onset_benchmark,UWCEW6851O
258.56,226.24,288.97,259.18,18.53,3.63,16.63,13.88,18.84,16.5,1.56,0.31,13.87,11.38,16.03,13.8,1.41,0.28,164.63,1.0,onset_benchmark,VKHPY9501A
261.95,238.92,282.22,260.92,13.72,2.69,8.73,7.53,10.29,8.79,0.83,0.16,6.63,5.71,7.96,6.7,0.69,0.14,183.31,1.0,onset_benchmark,VKKDD9172T
243.7,213.36,270.84,243.63,18.74,3.67,12.94,11.43,15.13,13.14,1.39,0.27,9.68,8.13,11.77,9.8,1.13,0.22,177.87,1.0,onset_benchmark,VUHVS8909F
284.92,228.49,340.78,285.98,34.22,6.71,12.85,8.94,17.88,12.91,2.78,0.55,12.0,7.8,17.27,12.17,2.96,0.58,153.78,1.0,onset_benchmark,VVDIY0129H
239.04,209.16,272.91,239.5,18.64,3.65,14.74,12.14,16.76,14.74,1.48,0.29,11.03,8.97,12.77,11.02,1.22,0.24,177.23,1.0,onset_benchmark,VZOCK3505U
262.9,230.84,294.84,262.46,21.54,4.22,16.95,14.25,19.67,16.99,1.81,0.35,11.71,9.25,13.85,11.72,1.41,0.28,201.58,1.0,onset_benchmark,VZZSN1825O
253.48,222.84,284.26,252.73,20.07,3.93,17.83,14.47,20.64,17.79,2.06,0.4,14.6,11.66,17.48,14.6,1.81,0.35,164.6,1.0,onset_benchmark,WJHSV5358P
254.18,232.44,282.69,254.6,15.51,3.04,15.47,13.52,17.73,15.54,1.31,0.26,11.15,9.67,13.35,11.29,1.14,0.22,188.98,1.0,onset_benchmark,WKDIW7014B
242.19,195.31,296.88,240.78,32.97,6.46,11.72,7.81,17.19,12.05,2.85,0.56,8.42,5.37,12.53,8.73,2.25,0.44,182.91,1.0,onset_benchmark,WSFVN0229E
253.77,211.06,301.51,253.62,28.06,5.5,13.07,10.03,17.11,13.41,2.26,0.44,10.76,7.82,14.86,11.07,2.11,0.41,164.4,1.0,onset_benchmark,WSNTP4114A
253.48,228.76,275.66,253.41,14.98,2.94,14.66,12.5,16.19,14.48,1.24,0.24,11.73,10.18,13.56,11.72,1.1,0.22,169.73,1.0,onset_benchmark,WTBXP2683L
255.05,233.79,276.3,254.1,12.9,2.53,15.14,13.49,16.9,15.19,1.05,0.2,12.23,10.95,13.5,12.21,0.87,0.17,169.32,1.0,onset_benchmark,XDAFB7350M
249.54,223.95,287.8,251.58,19.81,3.88,17.49,15.29,20.22,17.52,1.56,0.3,13.06,11.16,14.92,12.96,1.2,0.23,185.46,1.0,onset_benchmark,XDFKW2704K
275.64,236.86,323.72,278.21,27.37,5.36,18.91,16.03,22.12,19.0,1.89,0.37,15.45,13.23,18.24,15.52,1.61,0.31,177.26,1.0,onset_benchmark,XIGJJ1201J
257.61,232.17,280.52,257.03,15.23,2.98,17.89,15.86,19.94,17.89,1.25,0.25,14.99,13.26,17.09,15.09,1.16,0.23,160.75,1.0,onset_benchmark,XKAWN3771U
219.9,177.75,261.78,217.8,26.6,5.21,18.85,14.66,23.61,19.42,2.94,0.58,15.16,12.05,19.08,15.58,2.32,0.45,154.28,1.0,onset_benchmark,XPABC1435F
232.76,196.01,260.78,231.31,18.82,3.69,16.7,14.44,18.76,16.58,1.39,0.27,12.24,10.35,14.06,12.13,1.21,0.24,177.45,1.0,onset_benchmark,XQAGA4299B
270.41,250.0,297.19,271.72,14.38,2.82,16.45,14.79,18.64,16.53,1.14,0.22,14.37,13.07,16.45,14.5,1.06,0.21,159.83,1.0,onset_benchmark,XWUBX0795L
245.83,182.92,325.42,252.0,46.53,9.12,14.17,10.83,19.17,14.38,2.7,0.53,10.83,8.02,15.69,11.09,2.29,0.45,178.31,1.0,onset_benchmark,YEXCH8391J
280.0,231.4,328.2,278.88,30.26,5.93,20.0,15.6,24.0,20.03,2.61,0.51,14.75,11.48,18.01,14.75,2.13,0.42,197.71,1.0,onset_benchmark,YPKYH1768F
237.43,209.5,284.92,238.94,23.29,4.56,12.71,9.76,15.66,12.67,1.91,0.37,9.34,7.27,11.73,9.41,1.48,0.29,176.74,1.0,onset_benchmark,YQMZV4284N
255.01,216.04,291.87,255.03,22.96,4.5,20.94,17.59,23.85,20.96,1.94,0.38,17.04,14.1,19.53,16.96,1.66,0.33,168.21,1.0,onset_benchmark,ZBVSO0975W
243.72,223.43,267.65,243.74,13.92,2.73,13.07,11.68,15.33,13.27,1.09,0.21,10.27,8.6,12.21,10.3,0.98,0.19,171.32,1.0,onset_benchmark,ZHCLE1578P
244.56,220.94,276.38,246.77,17.76,3.48,11.81,10.04,13.91,11.86,1.28,0.25,8.58,7.04,10.65,8.68,1.06,0.21,184.0,1.0,onset_benchmark,ZRRCV7012C
257.82,233.9,284.72,257.6,15.67,3.07,23.55,21.01,26.39,23.69,1.64,0.32,22.52,20.38,25.19,22.72,1.71,0.33,133.22,1.0,speed_onset_benchmark,AGNOF1041H
262.47,240.55,282.59,262.45,12.69,2.49,14.65,13.03,16.36,14.7,1.08,0.21,14.25,12.41,16.18,14.19,1.12,0.22,135.09,1.0,speed_onset_benchmark,AKCGO9726K
246.0,218.0,274.1,245.44,18.71,3.67,16.6,13.6,19.43,16.71,1.86,0.36,15.44,12.63,18.45,15.4,1.83,0.36,135.12,1.0,speed_onset_benchmark,AOBTM3098N
234.62,211.73,264.35,236.58,17.44,3.42,13.67,10.71,15.95,13.66,1.61,0.32,12.57,9.91,14.73,12.45,1.62,0.32,135.1,1.0,speed_onset_benchmark,APXEE8191H
232.73,196.18,280.0,235.13,27.41,5.37,16.0,12.0,18.91,15.75,2.03,0.4,15.23,11.28,18.37,15.06,2.03,0.4,120.59,1.0,speed_onset_benchmark,ATDID5461S
269.41,214.38,306.16,265.57,27.13,5.32,10.96,8.65,14.18,11.1,1.98,0.39,10.98,7.96,15.17,11.23,2.21,0.43,129.28,1.0,speed_onset_benchmark,BBXPQ0212O
244.05,212.3,275.79,244.37,19.78,3.88,21.43,18.25,24.22,21.34,1.84,0.36,20.04,16.65,22.58,19.76,1.84,0.36,134.4,1.0,speed_onset_benchmark,BICAW1125K
276.23,246.25,310.49,276.23,19.61,3.84,22.27,19.26,25.92,22.38,2.03,0.4,21.65,18.73,25.13,21.74,2.09,0.41,138.7,1.0,speed_onset_benchmark,BQZGT7491V
259.01,225.11,297.3,258.6,23.38,4.58,15.99,13.51,18.93,16.14,1.84,0.36,15.5,12.93,18.78,15.62,1.85,0.36,130.89,1.0,speed_onset_benchmark,BXXZS5063A
256.2,206.2,330.58,258.1,36.88,7.23,14.05,9.92,20.66,14.86,3.39,0.66,13.39,8.07,19.15,13.59,3.22,0.63,143.75,1.0,speed_onset_benchmark,CNBGF2713O
268.34,233.49,297.3,269.65,18.28,3.58,21.43,18.53,24.72,21.54,1.78,0.35,22.16,19.05,25.72,22.21,2.02,0.4,121.42,1.0,speed_onset_benchmark,CQAAX8797Z
255.1,214.12,292.69,256.16,24.55,4.81,12.59,10.54,16.0,12.97,1.86,0.36,12.54,10.25,16.36,12.75,1.94,0.38,126.45,1.0,speed_onset_benchmark,CYVHC2532V
259.01,230.93,284.47,258.4,16.49,3.23,16.27,14.78,18.64,16.38,1.18,0.23,15.21,13.33,17.0,15.27,1.1,0.21,140.19,1.0,speed_onset_benchmark,DANAH4615Q
266.44,238.75,295.85,266.16,17.78,3.48,22.06,19.38,25.09,22.16,1.85,0.36,21.68,18.93,25.03,21.81,1.85,0.36,131.56,1.0,speed_onset_benchmark,DLNBB9786K
257.81,236.33,281.25,257.05,14.23,2.79,23.93,22.06,26.19,23.94,1.37,0.27,22.33,20.45,24.95,22.51,1.42,0.28,138.95,1.0,speed_onset_benchmark,DNOYM6465G
266.54,231.53,306.99,268.73,20.99,4.11,21.14,18.56,24.27,21.22,1.78,0.35,19.96,17.33,23.29,20.24,1.81,0.36,142.0,1.0,speed_onset_benchmark,DQKFO8183I
265.5,245.5,290.23,264.23,14.6,2.86,18.13,16.36,20.58,18.38,1.31,0.26,17.61,15.56,19.88,17.69,1.34,0.26,137.01,1.0,speed_onset_benchmark,DZJVD1372Z
264.9,243.58,288.87,265.7,15.33,3.0,18.74,16.94,20.79,18.71,1.28,0.25,18.73,16.86,20.67,18.73,1.36,0.27,128.68,1.0,speed_onset_benchmark,EQPWM6065O
243.57,216.26,273.9,245.85,16.79,3.29,19.06,16.49,21.49,18.98,1.44,0.28,17.49,15.24,19.74,17.47,1.48,0.29,137.24,1.0,speed_onset_benchmark,EQZZZ5658G
274.64,255.93,291.34,274.15,10.48,2.05,14.71,13.34,16.04,14.61,0.86,0.17,13.73,12.55,15.12,13.73,0.84,0.16,146.96,1.0,speed_onset_benchmark,FAJKD7118X
250.45,226.77,283.12,251.18,17.78,3.49,14.88,12.51,16.9,14.87,1.44,0.28,13.6,11.09,15.83,13.54,1.39,0.27,140.64,1.0,speed_onset_benchmark,FCCJC8768V
268.7,240.59,293.14,268.77,15.98,3.13,18.2,16.32,20.21,18.23,1.35,0.26,17.85,15.75,20.18,17.9,1.41,0.28,134.04,1.0,speed_onset_benchmark,FLVXS2956M
